Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin
0,27.6,83.7,Presence,20
0,27.6,83.7,Presence,20
0,27.6,83.7,Presence,20
0,27.6,83.7,Presence,20
0,27.6,83.7,Presence,20
0,27.6,83.7,Presence,20
0,27.6,83.7,Presence,20
0,27.6,83.7,Presence,20
0,27.6,83.7,Presence,20
0,27.6,83.7,Presence,20
0,27.6,83.7,Presence,20
0,27.6,83.7,Presence,20
0,27.6,83.7,Presence,20
0,27.6,83.7,Presence,20
0,27.6,83.7,Presence,20
0,27.6,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
